Year,Magnitude,Location,Depth(Km),MMI,Notes,Event,DateT
1937,6.9,"China, Shandong Province",25,IX,"3,252 people were killed and 12,701 were injured.",1937 Heze earthquakes,July 31
1938,6.6,"Turkey, Kırşehir Province",10,IX,224 people were killed.,1938 Kırşehir earthquake,April 19
1939,7.8,"Turkey, Erzincan Province",20,XII,"At least 32,700 people were killed.",1939 Erzincan earthquake,December 27
1940,7.7,"Romania, Vrancea County",133,X,"1,000 people were killed in Romania and Moldova. Also known as Bucharest earthquake.",1940 Vrancea earthquake,November 10
1941,5.8,"Yemen, Razih District",35,VIII,"1,200 people were killed.",1941 Jabal Razih earthquake,January 11
1942,7,"Turkey, Erbaa",10,IX,"3,000 people were killed.",1942 Niksar–Erbaa earthquake,December 20
1943,7.5–7.7,"Turkey, Çankırı",20,XI,"Between 2,824 and 5,000 people were killed.",1943 Tosya–Ladik earthquake,November 27
1944,7,"Argentina, San Juan",15,IX,"10,000 people were killed.",1944 San Juan earthquake,January 15
1945,8.1,"British India, Makran Coast",15,X,"Between 300 and 4,000 people were killed.",1945 Balochistan earthquake,November 28
1946,7.8,"Dominican Republic, Samana",15,IX,"2,550 people were killed.",1946 Dominican Republic earthquake,August 4
1948,7.3,"Soviet Union, Turkmen Soviet Socialist Republic",15,X,"Between 10,000 and 110,000 people were killed and the city of Ashgabat was completely destroyed.",1948 Ashgabat earthquake,October 6
1949,7.5,"Soviet Union, Tajik Soviet Socialist Republic",18,IX,"12,000 people were killed, mostly due to landslides that buried the city of Khait.",1949 Khait earthquake,July 10
1950,8.6,"India, Assam",15,XI,"It is the largest earthquake on land and the largest one to occur due to continental collision rather than plate subduction. 4,800 people were killed.",1950 Assam–Tibet earthquake,August 15
1951,6.5,El Salvador offshore,85,,"1,100 people were killed.",1951 El Salvador earthquake,May 6
1952,9,"Soviet Union, Russian Soviet Socialist Republic",21.6,XI,"Between 2,336 and 20,000 people were killed and a tsunami with a maximum height of 18 metres (59 ft).",1952 Severo-Kurilsk earthquake,November 5
1953,7.3,"Turkey, Balıkesir Province",10,IX,"1,070 people killed and US$3,570,000 in damages.",1953 Yenice–Gönen earthquake,March 18
1954,6.7,"France, Chlef Province, Algeria",15,XI,"1,243 people were killed and 5,000 injured. 6,000 homes collapsed.",1954 Chlef earthquake,September 9
1955,7.4,"Philippines, Western Mindanao",35,VIII,At least 465 people were killed and severe damage along Lanao Lake.,1955 Lanao earthquake,March 31
1956,6.4,"Iran, Hormozgan",15,VII,347 people killed.,1956 Hormozgan earthquake,October 31
1957,6.7,"Iran, Hamadan",15,VII,"1,200 people killed and major damage.",1957 Farsinaj earthquake,December 13
1958,6.7,"Iran, Lorestan",15,VII,158 people were killed as well as major damage was reported.,1958 Lorestan earthquake,August 16
1959,7.3,"United States, Montana",5,X,28 people were killed. Most of the deaths occurred due to landslides.,1959 Hebgen Lake earthquake,August 18
1960,5.8,"Morocco, Souss-Massa",15,X,"Worst earthquake in Moroccan history. Between 12,000 and 15,000 were killed.",1960 Agadir earthquake,February 29
1961,6.4,"Iran, Fars province",15,VIII,60 people were killed.,1961 Fars earthquake,June 11
